2020.01.14 06:43:28 | Gamer1 | loss
2020.01.14 06:43:29 | Gamer1 | loss
2020.01.14 06:43:30 | Gamer1 | win
2020.01.14 06:43:49 | Gamer Gamerov | win
2020.01.14 06:43:49 | Gamer Gamerov | win
2020.01.14 06:43:50 | Gamer Gamerov | loss
2020.01.14 06:43:50 | Gamer Gamerov | win
2020.01.14 06:44:08 | Gamer1 | win
2020.01.14 06:44:08 | Gamer1 | loss
2020.01.14 06:44:09 | Gamer1 | win
2020.01.14 06:44:09 | Gamer1 | win
2020.01.15 11:48:59 | Gamer3 | win
2020.01.15 11:49:00 | Gamer3 | loss
2020.01.15 11:49:02 | Gamer3 | win
2020.01.15 11:49:04 | Gamer3 | loss
2020.01.15 11:49:06 | Gamer3 | loss
2020.01.15 11:49:06 | Gamer3 | win
2020.01.15 11:50:17 | Gamer1 | win
2020.01.15 11:52:47 | Gamer1 | win
